No.;Time;Comment;Scramble;Date;P.1
1;DNF(42.76);;B D' F2 D2 R2 F2 D' B2 U' R2 D' R2 F L' B' R' D2 U L D2 Fw Uw';2023-06-29 21:31:49;42.76
2;30.64;;B2 L2 D R2 D2 B2 U2 F2 D B2 F2 L' U' B2 R F D U F' D F Uw2;2023-06-29 21:33:12;30.64
3;DNF(35.54);;U' R2 B' F' U2 F D2 F' L2 U2 F' R2 D2 R' F' D2 U' L D2 U2 B' Fw' Uw';2023-06-29 21:33:53;35.54
4;30.77;;B D R' U2 R F2 R' B2 R2 F2 R' F2 R' U F2 L D2 U2 F' U Fw Uw';2023-06-29 21:34:53;30.77
5;DNF(30.49);;L' F2 D2 R2 D L2 U' L2 U R2 B2 D' L2 F L' U' L2 B' L2 D' R' Rw Uw';2023-06-29 21:35:51;30.49
6;DNF(42.35);;U2 R' F2 L B2 R B2 F2 R F2 R' D' L2 F R' B L2 B2 L2 U L2 Fw' Uw;2023-06-29 21:36:44;42.35
7;DNF(25.91);;L B2 L2 U2 B2 L2 U2 L' D2 U2 R2 F' U2 R D' L B2 L B F Rw2 Uw';2023-06-29 21:38:42;25.91
8;41.47;;F' R L' U F' R2 F' U L2 U2 B2 U2 L D2 F2 R U2 B2 R2 Uw2;2023-06-29 21:39:50;41.47
9;DNF(49.47);;L' U2 R U2 D' R' B' L F R2 B L2 U2 B R2 U2 R2 B L Rw' Uw2;2023-06-29 21:41:46;49.47
10;DNF(29.82);;F' R2 U2 D L' U2 F2 D L2 F' R2 B' L2 B D2 B2 R2 F D2 B2 Fw';2023-06-29 21:43:25;29.82
11;44.25;;D U2 R2 B2 R' D2 R2 B2 R' U2 L D R F' U2 B' D B' R F2 Rw Uw';2023-06-29 21:44:36;44.25
12;DNF(31.92);;U F2 U' B2 U F2 L2 R2 U' L2 F' U R' D2 F R2 D B L' Rw' Uw;2023-06-29 21:45:28;31.92
13;DNF(31.61);;U2 B2 R2 U2 B2 D' L2 F2 U F2 R2 U B' L D F' L' U' F D L2 Rw Uw';2023-06-29 21:46:22;31.61
14;DNF(38.91);;B U2 R2 F D2 F2 R2 U2 B2 R2 D' U B' L2 R' B D F' R Rw Uw2;2023-06-29 21:47:14;38.91
15;DNF(47.64);;D L D2 R' L2 F' R L' B U' L2 D B2 L2 D' B2 U' R2 B2 D B2 Fw' Uw;2023-06-29 21:48:20;47.64
16;29.85;;D' R' U R F' U' B L2 U B2 U R2 U' B2 R2 F2 D2 B2 R' B2 Rw' Uw2;2023-06-29 21:54:04;29.85
17;DNF(38.31);;U2 F2 R B L2 B2 U' L' D2 F2 D F2 D L2 D2 R2 F2 R2 F2 R2 Rw2;2023-06-29 21:55:58;38.31
18;34.83;;R F' R' U' D' B' L' B L' D R2 F2 U2 B2 L2 U F2 B2 Rw Uw;2023-06-29 21:59:23;34.83
19;31.42;;F2 L2 B2 D2 L F2 R' F2 D2 L' B' U2 L' D' R B' R2 D R Rw2 Uw;2023-06-29 22:02:13;31.42
20;27.24;;F2 L2 F2 D B2 D' F2 D' R2 B2 U F2 R' D' U' R' F' U' B' L' F' Fw Uw;2023-06-29 22:05:45;27.24
21;DNF(30.59);;U' R L' F' D F2 R D R' F2 D2 L' U2 F2 D2 F2 R L2 F2 U Fw Uw;2023-06-29 22:08:54;30.59
22;DNF(34.77);;B2 R2 F2 D R2 U' R2 U' R2 B2 L F2 U' R2 B L2 D' U' F R' Uw';2023-06-29 22:12:27;34.77
23;DNF(36.32);;F2 L' U2 B' U F2 L D L2 B2 L2 U L2 U F2 R2 U' B' L2;2023-06-29 22:55:26;36.32
24;DNF(36.69);;B' R2 D2 B L2 B' D2 F R2 B R2 U F' R B2 R B F' L D Fw;2023-06-29 22:59:04;36.69
25;51.61;;B' L' U R' D F D2 B2 R' U L2 U B2 L2 F2 U' B2 U L2 D Fw';2023-06-29 23:01:32;51.61
