No.;Time;Comment;Scramble;Date;P.1;P.2
1;13.18;;B' R2 B2 L2 F2 U2 L2 D L2 F2 D' F2 R' D L2 D2 B2 U F R2 U' Rw2 Uw';2023-08-19 09:42:49;5.28;7.90
2;DNF(13.81);;U' L2 D2 B D L D R L2 B D2 L2 D2 B' U2 B L2 B2 U2 L Rw2 Uw;2023-08-19 09:43:38;5.63;8.17
3;DNF(16.41);;U2 B U L' U' D F' R2 D B2 D' F2 D' R2 D' R2 U B2 L D' Rw Uw';2023-08-19 09:48:16;7.54;8.86
4;DNF(31.82);;U2 R B D' R2 B' L D2 B' D F L2 D2 L2 D2 F2 D2 B' R2 F L2 Fw';2023-08-19 09:48:46;12.22;19.59
5;18.32;;U L' D2 B U2 R2 F2 D2 L2 B R2 F' D' B2 R U' L' F U' Fw Uw';2023-08-19 09:50:03;7.14;11.17
6;DNF(35.07);;D' B2 L' D' R' B' R' F' U2 R U D' R2 U L2 U F2 L2 D R2 D' Rw Uw2;2023-08-19 09:50:30;34.68;0.39
7;18.53;;D2 F2 D B2 D L2 B2 U' F2 R2 U R2 F' L R D B2 L2 B' D' R' Rw Uw';2023-08-19 09:51:40;6.07;12.45
8;20.62;;U' L' B' D2 B2 D2 R2 U2 R2 F2 L2 U L U F D L2 R2 F' Rw Uw';2023-08-19 09:52:06;5.80;14.81
9;DNF(16.69);;F2 L2 R2 D' F2 D' B2 L2 U' L2 U L B L' F2 U R' B2 U2 R Fw' Uw2;2023-08-19 09:52:36;6.89;9.80
10;15.13;;U2 F' U D' B' L' B2 D' L' F U2 L2 F' U2 L2 U2 R2 F2 D2 R Fw Uw2;2023-08-19 09:53:07;6.04;9.09
11;21.30;;L2 D R' F2 B' L2 F2 U D2 R' F2 B2 L' B2 U2 D2 L' F2 L2 B Rw;2023-08-19 09:53:30;7.04;14.25
12;26.84;;F D2 L B2 L2 D2 B2 L B2 L B2 D2 U' F' L D L' F2 L' U Rw2;2023-08-19 09:54:08;11.61;15.23
13;27.09;;L' U2 R D2 B2 U2 R' F2 L' D2 U2 L2 U B R' F2 U2 R' D2 F2 D' Fw Uw';2023-08-19 09:54:45;6.28;20.81
14;DNF(22.72);;L2 D2 L B2 L R2 D2 B2 D2 B2 R2 D' B L' U L' R F2 R B Fw Uw2;2023-08-19 09:55:28;7.65;15.07
15;DNF(11.89);;B2 U B2 U' B2 R2 B2 R2 U' L2 U R U F L2 F2 D R' D L' B Uw';2023-08-19 09:56:04;11.46;0.42
16;20.84;;F2 R' U' B2 U' B2 R2 U' B2 R2 U R2 D B U' L2 R F L U Uw;2023-08-19 09:57:39;6.47;14.36
